policy,size,samples,mean_ms,min_ms,max_ms,p50_ms,p95_ms,p99_ms,passes_gate
SJF,small,3341,0.0011435333732415444,0.000375,0.050041,0.001083,0.001584,0.0035917999999999927,True
SJF,medium,27705,0.00647678917162967,0.000416,0.081375,0.006667,0.0105,0.011542,True
SJF,large,274748,0.06579440106934355,0.000417,0.936125,0.0685,0.111125,0.120417,True
Round Robin,small,11871,0.000649506191559262,0.000291,0.033166,0.000666,0.000792,0.000875,True
Round Robin,medium,98169,0.0032401507604233517,0.000292,0.158833,0.003541,0.004416,0.004917,True
Round Robin,large,972382,0.033010842243069084,0.000375,50.716125,0.036959,0.046583,0.055041,True
Priority,small,3341,0.0010016881173301408,0.000375,0.048958,0.000959,0.001584,0.001833,True
Priority,medium,27705,0.006025255441256091,0.000416,0.219459,0.006083,0.010708,0.011708,True
Priority,large,274748,0.0611894052622767,0.000458,2.381833,0.062916,0.111083,0.11952172999999876,True
Priority RR,small,22088,0.0015678222111553785,0.000375,0.059375,0.001667,0.002042,0.002208,True
Priority RR,medium,182797,0.010259250053337856,0.000416,0.748375,0.011334,0.014,0.017666,True
Priority RR,large,1809726,0.1047697409447618,0.000458,73.560625,0.1185,0.146792,0.169125,True
Adaptive,small,100,0.18637126,0.139958,1.288459,0.1606665,0.27075894999999994,0.4008824200000046,True
Adaptive,medium,100,0.66473207,0.6,1.074875,0.6483749999999999,0.7310065499999999,0.8666453300000011,True
Adaptive,large,100,4.47028454,4.05875,7.600334,4.377708500000001,4.9842249999999995,6.1357111700000075,True
